id,company_rating,company_location,total_fleet_count,iata_approved,company_loaction
16370,50%,Isle of Man,1.0,t,na
15404,,,1.0,t,na
7588,100%,Philippines,2.0,f,na
35572,,Nicaragua,1.0,f,na
29167,,,1.0,t,na
18953,100%,Chile,1.0,f,na
21124,,Estonia,2.0,t,na
4149,,Russian Federation,1.0,f,na
7891,100%,Barbados,1.0,f,na
31532,,,1.0,f,na
22175,50%,Lebanon,1.0,t,na
24416,,,1.0,t,na
43870,100%,,1.0,f,na
15015,,,1.0,t,na
37686,90%,Monaco,1.0,t,na
41236,,,1.0,f,na
22210,,Zimbabwe,1.0,f,na
40770,100%,Tonga,2.0,f,na
7399,,,1.0,t,na
22408,,Portugal,1.0,f,na
26040,,Isle of Man,1.0,t,na
3659,,Cape Verde,1.0,t,na
30020,,,1.0,f,na
47398,100%,,1.0,t,na
30561,,Reunion,1.0,f,na
22090,100%,Marshall Islands,1.0,t,na
653,,Vanuatu,3.0,f,na
2904,,Canada,1.0,f,na
39794,,,1.0,t,na
30170,,Chile,1.0,t,na
44781,90%,,1.0,f,na
24562,,Lithuania,1.0,f,na
1241,100%,Chile,1.0,f,na
43897,100%,,1.0,f,na
4348,,,1.0,f,na
7008,,,1.0,f,na
18922,,,1.0,f,na
34678,89%,Croatia,4.0,t,na
46270,,Niue,1.0,t,na
39117,,Moldova,1.0,t,na
32063,100%,Niue,2.0,t,na
19581,100%,Russian Federation,1.0,f,na
42314,100%,,1.0,f,na
18430,,Lebanon,2.0,t,na
28985,100%,Monaco,1.0,t,na
37939,,,1.0,t,na
32494,,,1.0,t,na
9703,,,1.0,f,na
17908,100%,Mexico,2.0,f,na
2732,100%,Turkmenistan,4.0,f,na
14496,,Isle of Man,1.0,t,na
10546,,,1.0,t,na
19139,100%,Mauritania,1.0,f,na
42020,100%,,2.0,t,na
17652,50%,Isle of Man,1.0,f,na
11023,,,1.0,f,na
31213,100%,Denmark,1.0,t,na
46569,,,1.0,f,na
40661,,Sao Tome and Principe,2.0,t,na
12483,,,1.0,t,na
1577,100%,Peru,8.0,t,na
48446,100%,,1.0,f,na
15425,,Uzbekistan,1.0,t,na
9819,,United Kingdom,1.0,t,na
24954,60%,Christmas Island,2.0,f,na
24736,100%,Isle of Man,1.0,t,na
950,,Chile,1.0,f,na
14812,100%,,1.0,t,na
46615,100%,,1.0,t,na
14790,,Niger,1.0,f,na
16,,,1.0,t,na
44885,100%,Philippines,1.0,t,na
12310,,,1.0,f,na
31040,100%,El Salvador,2.0,t,na
40396,,Russian Federation,1.0,f,na
19540,100%,Guinea,1.0,t,na
20183,100%,,1.0,t,na
78,100%,Gambia,1.0,t,na
42549,,Uzbekistan,1.0,t,na
39998,100%,Micronesia,4.0,t,na
768,,Bahrain,1.0,t,na
44637,,El Salvador,1.0,t,na
44245,100%,,1.0,f,na
22758,,,1.0,f,na
47617,100%,Philippines,2.0,f,na
23779,,,1.0,f,na
18071,,,1.0,t,na
8640,,Niue,1.0,t,na
18651,,,1.0,t,na
27729,,Afghanistan,4.0,f,na
37118,,,1.0,t,na
45083,100%,,1.0,f,na
7309,100%,Togo,4.0,f,na
15586,,Niue,1.0,t,na
33683,33%,Somalia,2.0,f,na
7056,100%,,2.0,t,na
12799,80%,Faroe Islands,2.0,f,na
34355,,,2.0,t,na
5729,100%,Russian Federation,1.0,f,na
21239,100%,Denmark,1.0,f,na
5532,,Jersey,1.0,f,na
15370,,El Salvador,1.0,f,na
49953,100%,Niger,1.0,f,na
31290,,,1.0,f,na
35774,90%,Brazil,1.0,t,na
25262,,Maldives,1.0,t,na
48162,100%,Marshall Islands,1.0,f,na
5643,,Tonga,1.0,t,na
17702,,Lebanon,1.0,f,na
29745,90%,Andorra,1.0,f,na
25613,,Nicaragua,1.0,t,na
36263,,,1.0,f,na
34381,83%,Sao Tome and Principe,1.0,f,na
1353,,France,1.0,t,na
22271,,Nicaragua,2.0,f,na
38299,100%,Gambia,1.0,f,na
42558,,Russian Federation,1.0,f,na
8551,100%,Lebanon,1.0,f,na
42646,33%,Rwanda,4.0,f,na
4717,,Isle of Man,1.0,f,na
42975,,Philippines,1.0,f,na
26853,,Russian Federation,1.0,t,na
17669,100%,Russian Federation,3.0,f,na
25029,,,1.0,t,na
43882,,Turkmenistan,1.0,f,na
41421,,Gambia,1.0,t,na
48188,100%,,1.0,f,na
17751,,,2.0,f,na
33043,,Niue,2.0,f,na
20648,,United Kingdom,1.0,f,na
22110,100%,,1.0,t,na
830,,Guernsey,1.0,t,na
10364,100%,Slovakia (Slovak Republic),14.0,f,na
27226,100%,Congo,10.0,f,na
55,100%,Kiribati,2.0,f,na
44796,100%,Maldives,2.0,t,na
7025,100%,Jersey,1.0,f,na
19731,,,1.0,t,na
30130,100%,Togo,1.0,f,na
26794,100%,Lithuania,1.0,f,na
17051,100%,Micronesia,1.0,f,na
8012,100%,Sao Tome and Principe,2.0,t,na
15991,100%,Congo,1.0,t,na
42600,100%,Malawi,1.0,t,na
6669,,Malawi,1.0,t,na
46787,100%,Niue,1.0,t,na
11291,100%,,1.0,f,na
35323,89%,,1.0,f,na
2721,100%,,1.0,t,na
19554,,Lebanon,2.0,f,na
22806,100%,Faroe Islands,1.0,f,na
33223,100%,Nauru,1.0,t,na
547,,Guinea,1.0,t,na
36422,,Montserrat,1.0,f,na
23387,100%,,2.0,t,na
20463,100%,Lithuania,2.0,f,na
6860,,Djibouti,1.0,f,na
28276,83%,Papua New Guinea,2.0,f,na
26519,100%,Turks and Caicos Islands,2.0,t,na
6930,,Guernsey,1.0,t,na
31598,67%,Ukraine,1.0,f,na
18366,78%,,1.0,f,na
35826,,,2.0,f,na
12261,,Niue,1.0,t,na
47159,88%,Denmark,1.0,t,na
42671,,Niue,1.0,f,na
33222,67%,Croatia,1.0,f,na
6984,100%,Suriname,9.0,f,na
8362,100%,Malawi,2.0,t,na
28914,,Chile,1.0,t,na
17,,,1.0,f,na
28030,90%,Anguilla,1.0,f,na
46381,100%,,2.0,f,na
11904,100%,Nauru,1.0,f,na
7842,100%,,1.0,f,na
46676,,Lebanon,1.0,t,na
30684,100%,Niue,2.0,t,na
36627,,,2.0,t,na
40047,,Malta,1.0,f,na
44736,100%,Guernsey,1.0,t,na
21217,75%,Nauru,1.0,f,na
10240,,,1.0,f,na
48629,,Micronesia,1.0,f,na
39070,100%,,1.0,f,na
35428,,Switzerland,1.0,t,na
46424,,Niger,6.0,t,na
46591,,French Guiana,1.0,f,na
14136,100%,Guinea,1.0,f,na
49604,,Afghanistan,2.0,t,na
44127,100%,Rwanda,1.0,t,na
30462,0%,Lithuania,1.0,t,na
35077,100%,Cocos (Keeling) Islands,4.0,f,na
37835,100%,,1.0,t,na
28404,100%,Croatia,1.0,t,na
7612,100%,,1.0,f,na
35386,100%,Venezuela,1.0,f,na
44417,100%,,1.0,f,na
7217,,Sao Tome and Principe,1.0,f,na
26952,,Russian Federation,3.0,t,na
18182,67%,,1.0,f,na
5450,,,1.0,f,na
31437,90%,Denmark,1.0,f,na
24676,,Guinea,1.0,f,na
49510,100%,Croatia,1.0,t,na
26064,,,1.0,f,na
39923,100%,Russian Federation,2.0,f,na
46440,,Russian Federation,1.0,t,na
37178,,,1.0,f,na
3545,,Pakistan,1.0,t,na
33059,,Malta,1.0,f,na
27823,100%,,1.0,t,na
34829,100%,,2.0,t,na
29643,,,1.0,t,na
46932,,,1.0,f,na
41024,95%,Uzbekistan,2.0,f,na
18557,67%,Monaco,2.0,f,na
16464,,Isle of Man,1.0,f,na
45171,100%,Kiribati,1.0,t,na
10426,,,1.0,f,na
45766,,,2.0,t,na
34860,50%,,1.0,f,na
36423,100%,,1.0,f,na
14872,,China,1.0,t,na
48212,,,1.0,f,na
45880,,,1.0,t,na
24060,100%,Malta,1.0,t,na
40276,100%,Anguilla,1.0,t,na
16649,100%,Gibraltar,8.0,f,na
8956,100%,Kiribati,1.0,f,na
38957,,Kiribati,1.0,f,na
33622,,Micronesia,1.0,f,na
9411,,Papua New Guinea,1.0,t,na
38297,100%,,3.0,f,na
21292,,Gambia,1.0,t,na
7656,100%,Russian Federation,1.0,f,na
1923,,,1.0,f,na
4486,100%,Russian Federation,1.0,t,na
9420,,,1.0,f,na
10593,,Netherlands,1.0,f,na
33188,,Indonesia,1.0,f,na
14471,,Micronesia,1.0,f,na
42307,,,1.0,f,na
41099,,,1.0,f,na
42163,,Rwanda,1.0,t,na
18666,,Cocos (Keeling) Islands,2.0,t,na
10340,,Ecuador,1.0,t,na
35534,,Ghana,1.0,f,na
7224,,Brunei Darussalam,1.0,t,na
31184,100%,,1.0,t,na
24583,,Bahrain,1.0,f,na
6786,,Niue,1.0,t,na
10887,67%,Russian Federation,1.0,f,na
29614,100%,San Marino,1.0,f,na
33012,,,1.0,f,na
36581,,,1.0,f,na
24475,,,1.0,f,na
9318,,,1.0,f,na
38257,100%,Svalbard & Jan Mayen Islands,1.0,f,na
42777,,,1.0,f,na
17016,,,1.0,t,na
24405,90%,,1.0,f,na
26957,100%,Uzbekistan,1.0,f,na
21860,100%,France,2.0,t,na
42892,,Tanzania,1.0,f,na
11298,,Zimbabwe,1.0,f,na
21816,,Russian Federation,1.0,f,na
16292,83%,Reunion,1.0,f,na
25399,,,1.0,t,na
39857,100%,Cocos (Keeling) Islands,1.0,t,na
17150,,Vanuatu,2.0,t,na
11618,,Montserrat,2.0,f,na
33743,100%,Denmark,2.0,f,na
4957,100%,Puerto Rico,1.0,f,na
34238,100%,Saint Barthelemy,5.0,t,na
45429,100%,Niue,1.0,f,na
9437,,,1.0,f,na
41584,,,1.0,t,na
12213,,Chad,1.0,t,na
14348,100%,,1.0,f,na
37243,100%,Tunisia,1.0,f,na
18338,88%,Ecuador,1.0,t,na
21186,100%,Rwanda,2.0,t,na
14575,,,1.0,f,na
5108,,Turkmenistan,1.0,f,na
13427,100%,Ecuador,1.0,f,na
42080,100%,France,1.0,f,na
12085,,,1.0,f,na
40805,90%,Uzbekistan,2.0,f,na
46907,,Chile,1.0,t,na
28255,75%,Somalia,1.0,f,na
1677,,,1.0,f,na
8071,,,1.0,f,na
8972,100%,,1.0,f,na
14256,100%,,3.0,f,na
47264,,,1.0,t,na
27948,100%,Niue,4.0,f,na
32413,100%,Faroe Islands,1.0,f,na
5848,80%,Canada,2.0,f,na
13207,100%,,1.0,f,na
5484,,Papua New Guinea,1.0,f,na
29938,,Turkmenistan,1.0,t,na
44666,100%,Uzbekistan,1.0,t,na
19877,,Zimbabwe,1.0,f,na
36756,,Indonesia,2.0,t,na
18919,,Russian Federation,1.0,t,na
46077,100%,,1.0,f,na
37326,100%,,1.0,f,na
9566,,Isle of Man,1.0,t,na
43992,100%,Uzbekistan,3.0,t,na
31667,100%,Croatia,1.0,f,na
15866,100%,Papua New Guinea,2.0,f,na
32784,,Cocos (Keeling) Islands,1.0,t,na
28172,100%,Isle of Man,1.0,f,na
33330,100%,,1.0,t,na
33895,100%,,1.0,f,na
28745,,,1.0,f,na
21649,100%,,1.0,t,na
14050,100%,Lithuania,1.0,t,na
33950,100%,Gambia,1.0,t,na
38508,100%,Rwanda,1.0,t,na
13074,100%,Turks and Caicos Islands,1.0,t,na
49786,,Tonga,1.0,f,na
9857,100%,,1.0,t,na
21016,,,1.0,f,na
37331,,Bosnia and Herzegovina,1.0,f,na
1616,100%,Zimbabwe,1.0,t,na
42104,50%,Djibouti,2.0,f,na
18212,,,1.0,f,na
43001,,Bosnia and Herzegovina,1.0,f,na
7043,,Malta,1.0,t,na
20744,,Niger,2.0,f,na
8897,,,1.0,t,na
19241,100%,Afghanistan,1.0,t,na
6806,,,1.0,f,na
18928,90%,,1.0,f,na
45524,,,1.0,f,na
15985,67%,Somalia,1.0,f,na
32650,100%,,2.0,f,na
3635,,,1.0,f,na
39919,90%,Guinea,3.0,t,na
29950,,France,1.0,t,na
13550,,Micronesia,1.0,f,na
29070,100%,Micronesia,1.0,f,na
38004,0%,Palestinian Territory,2.0,f,na
29844,100%,,2.0,t,na
29866,100%,Isle of Man,2.0,f,na
10233,,Barbados,2.0,f,na
8878,,Nauru,2.0,f,na
22419,,United Kingdom,1.0,f,na
44613,100%,,1.0,t,na
36766,100%,Malta,1.0,f,na
23055,91%,,2.0,f,na
614,67%,,1.0,f,na
6674,,Tonga,2.0,t,na
48698,90%,Vietnam,3.0,f,na
8908,100%,,2.0,f,na
21008,100%,Bouvet Island (Bouvetoya),1.0,f,na
6035,,Afghanistan,1.0,f,na
39878,0%,,1.0,f,na
517,100%,United Kingdom,1.0,f,na
48181,,,1.0,f,na
4269,,,1.0,f,na
25431,100%,Sao Tome and Principe,1.0,t,na
45199,,Puerto Rico,6.0,f,na
27067,,,1.0,f,na
20314,100%,El Salvador,1.0,f,na
30790,,Reunion,2.0,f,na
47479,100%,Russian Federation,1.0,t,na
11711,,Korea,1.0,t,na
29382,100%,Ghana,4.0,f,na
4964,100%,Malawi,1.0,t,na
18698,100%,,1.0,f,na
25308,100%,Guinea,1.0,t,na
15475,100%,Chad,1.0,f,na
15068,100%,Sao Tome and Principe,1.0,f,na
20663,100%,,1.0,t,na
42762,100%,United Kingdom,1.0,f,na
48184,,Tanzania,1.0,t,na
29328,,Moldova,1.0,t,na
14921,100%,Micronesia,2.0,f,na
5496,,Maldives,1.0,t,na
33948,100%,,2.0,f,na
31185,100%,,1.0,f,na
1328,,Kenya,2.0,f,na
31600,,Papua New Guinea,1.0,f,na
590,,Guinea,2.0,t,na
39575,,,1.0,f,na
25445,70%,,2.0,f,na
11781,100%,Guinea,2.0,t,na
38634,100%,Malta,1.0,t,na
42513,,Niger,1.0,f,na
13547,,,1.0,t,na
10079,100%,Rwanda,1.0,f,na
28224,100%,Rwanda,1.0,f,na
41372,,Indonesia,2.0,t,na
36681,100%,Tunisia,1.0,t,na
28131,100%,,1.0,t,na
46996,100%,Tonga,1.0,f,na
1247,,Chile,1.0,t,na
41022,100%,Cape Verde,3.0,t,na
40823,100%,,1.0,f,na
32703,100%,,2.0,f,na
17447,100%,El Salvador,4.0,t,na
27442,90%,Solomon Islands,1.0,f,na
12701,100%,Monaco,1.0,f,na
13786,,,1.0,f,na
16550,100%,Isle of Man,1.0,f,na
43252,100%,Uzbekistan,1.0,t,na
19861,67%,Togo,1.0,f,na
7058,100%,Isle of Man,2.0,f,na
25438,100%,,1.0,f,na
46687,100%,,1.0,f,na
36288,100%,Marshall Islands,1.0,f,na
19278,,,1.0,f,na
35824,,Anguilla,1.0,f,na
40051,,,1.0,f,na
36914,100%,Nauru,1.0,t,na
35737,100%,,1.0,f,na
23857,100%,Isle of Man,1.0,f,na
20619,,,1.0,t,na
16573,100%,Cuba,2.0,f,na
6522,,Lithuania,1.0,f,na
32801,63%,Somalia,1.0,f,na
47812,100%,Maldives,1.0,f,na
17138,100%,Isle of Man,1.0,t,na
11110,88%,Kiribati,3.0,t,na
3314,100%,Slovakia (Slovak Republic),10.0,f,na
2394,,,2.0,t,na
17061,100%,Niue,2.0,f,na
21275,100%,Marshall Islands,1.0,f,na
22745,,Indonesia,1.0,f,na
24243,,,2.0,t,na
24380,,Zimbabwe,2.0,f,na
4898,100%,Kiribati,1.0,f,na
18326,100%,Monaco,1.0,f,na
39510,,Guinea,1.0,f,na
19681,,,2.0,t,na
12910,,Maldives,1.0,t,na
43932,100%,,1.0,f,na
26159,100%,Turkmenistan,1.0,t,na
7620,100%,Togo,4.0,f,na
14319,,Afghanistan,1.0,f,na
44146,36%,Malawi,2.0,t,na
16916,,Guernsey,1.0,f,na
45842,100%,Maldives,1.0,t,na
12465,,Marshall Islands,1.0,f,na
6198,20%,,1.0,f,na
16581,,Guinea,1.0,t,na
16697,,Sao Tome and Principe,1.0,f,na
22132,,Kenya,1.0,f,na
46763,,China,1.0,t,na
44280,,Iraq,2.0,t,na
23440,,Chad,1.0,t,na
15505,100%,,1.0,f,na
26079,100%,Zimbabwe,1.0,f,na
3279,,Uzbekistan,1.0,t,na
22112,90%,,1.0,f,na
6759,,,1.0,t,na
9570,100%,Micronesia,1.0,f,na
26292,100%,Jersey,2.0,t,na
41270,100%,,1.0,f,na
25183,,Malta,1.0,t,na
4953,,Saint Helena,1.0,f,na
27090,100%,Tonga,2.0,t,na
16087,,French Guiana,1.0,f,na
43902,100%,,2.0,t,na
18490,,,1.0,f,na
16519,,Cocos (Keeling) Islands,1.0,f,na
45210,,Zimbabwe,1.0,t,na
44687,,Russian Federation,1.0,f,na
47302,,Netherlands,2.0,f,na
1200,100%,Russian Federation,2.0,t,na
525,100%,,1.0,f,na
42454,100%,Finland,1.0,f,na
32276,100%,Kiribati,1.0,f,na
27227,100%,Isle of Man,2.0,t,na
7237,100%,Guinea,1.0,t,na
13082,100%,Kiribati,3.0,t,na
27007,0%,,1.0,t,na
37454,100%,,2.0,f,na
42913,,Lebanon,1.0,t,na
9586,100%,Guinea,2.0,t,na
2480,100%,,1.0,f,na
23953,100%,,1.0,f,na
3490,100%,Papua New Guinea,1.0,f,na
7321,,Papua New Guinea,1.0,f,na
43891,,China,2.0,t,na
32587,,Jersey,1.0,f,na
29480,100%,French Polynesia,6.0,f,na
26901,100%,,1.0,t,na
32658,85%,Saint Helena,1.0,f,na
37841,0%,,1.0,t,na
5067,,Tonga,1.0,f,na
38160,25%,Nicaragua,1.0,f,na
25013,,Tonga,1.0,t,na
12899,50%,,1.0,t,na
9803,,Monaco,1.0,t,na
4094,,Russian Federation,4.0,t,na
1327,100%,Brazil,1.0,f,na
8755,,Malawi,1.0,f,na
33025,,Tonga,1.0,f,na
27289,99%,Reunion,12.0,t,na
23224,100%,,1.0,f,na
33783,0%,Lebanon,1.0,f,na
45197,,Christmas Island,1.0,f,na
35226,50%,,1.0,f,na
37283,100%,Brazil,1.0,t,na
18509,,Gambia,1.0,f,na
11005,100%,,1.0,t,na
38193,100%,French Guiana,1.0,t,na
8850,,,1.0,t,na
1133,,,1.0,t,na
49484,,Russian Federation,1.0,f,na
21331,100%,Holy See (Vatican City State),1.0,f,na
45597,,,1.0,t,na
40192,100%,Croatia,2.0,t,na
32691,100%,Nicaragua,1.0,f,na
10697,100%,Uzbekistan,3.0,t,na
35364,100%,Sao Tome and Principe,1.0,f,na
26863,,Mexico,7.0,f,na
37715,,Guinea,1.0,t,na
44354,100%,Russian Federation,1.0,t,na
18966,100%,,2.0,f,na
45281,,,1.0,f,na
1126,100%,Estonia,1.0,t,na
24205,100%,,1.0,f,na
34121,,,1.0,f,na
27811,100%,Ukraine,4.0,t,na
27966,100%,,1.0,f,na
24646,100%,Barbados,1.0,f,na
2078,,Sao Tome and Principe,1.0,f,na
44257,,Lebanon,1.0,t,na
11986,,,1.0,f,na
14985,,,2.0,t,na
24254,,,1.0,f,na
16258,100%,,1.0,t,na
45680,,Russian Federation,1.0,t,na
45208,100%,Svalbard & Jan Mayen Islands,1.0,f,na
16306,,Holy See (Vatican City State),1.0,f,na
7246,100%,Niue,6.0,f,na
41675,100%,Zimbabwe,1.0,f,na
24351,,Marshall Islands,1.0,t,na
29316,,Faroe Islands,1.0,t,na
1373,,Brazil,1.0,f,na
31515,,,1.0,f,na
29343,,Russian Federation,1.0,f,na
36832,83%,Micronesia,1.0,f,na
13474,80%,Zimbabwe,7.0,t,na
21341,80%,Tonga,1.0,f,na
4308,100%,Togo,1.0,f,na
45369,,Christmas Island,1.0,f,na
18024,100%,Monaco,1.0,f,na
4630,100%,,2.0,f,na
23911,,Vanuatu,1.0,t,na
46453,100%,Russian Federation,1.0,t,na
41036,100%,French Polynesia,2.0,f,na
5405,,,1.0,t,na
1298,100%,,1.0,t,na
14741,,,1.0,t,na
15803,100%,Tonga,1.0,t,na
43369,,Faroe Islands,1.0,t,na
24434,,Marshall Islands,1.0,t,na
44254,100%,,2.0,t,na
841,,Mauritania,1.0,f,na
29525,,,1.0,f,na
42156,,French Guiana,1.0,t,na
10355,,,1.0,f,na
24610,90%,,1.0,f,na
3189,100%,Marshall Islands,2.0,t,na
47361,100%,Barbados,10.0,f,na
13272,,Croatia,1.0,t,na
30971,,,1.0,f,na
33930,,El Salvador,1.0,t,na
35563,,French Guiana,1.0,f,na
17568,100%,,2.0,f,na
19813,,Jersey,1.0,f,na
18791,100%,Zimbabwe,8.0,t,na
17427,100%,Mexico,2.0,f,na
16173,100%,Rwanda,1.0,f,na
23610,,Uzbekistan,1.0,t,na
37595,90%,Lithuania,4.0,f,na
13557,80%,,1.0,t,na
4010,100%,,1.0,t,na
43393,100%,,1.0,f,na
14052,,Sao Tome and Principe,1.0,f,na
6760,,Montserrat,1.0,f,na
40143,,Russian Federation,1.0,t,na
40862,,Guinea,1.0,f,na
2180,0%,Australia,1.0,f,na
41507,100%,Sao Tome and Principe,1.0,t,na
4854,100%,Monaco,1.0,f,na
15306,,Barbados,8.0,t,na
8524,,Faroe Islands,1.0,f,na
21736,100%,Vanuatu,4.0,f,na
19955,,Rwanda,1.0,t,na
33190,0%,Anguilla,1.0,t,na
34241,,Gibraltar,1.0,t,na
41873,100%,Zimbabwe,2.0,f,na
29216,,,1.0,f,na
7500,100%,Paraguay,8.0,t,na
515,100%,Mauritania,1.0,f,na
41066,,,1.0,f,na
38533,,Chile,1.0,t,na
16507,100%,Nauru,1.0,f,na
13827,,Turks and Caicos Islands,1.0,f,na
25415,100%,Ghana,1.0,f,na
20760,,French Guiana,1.0,f,na
16655,80%,,1.0,f,na
5941,100%,Gambia,2.0,f,na
24582,,Netherlands,2.0,t,na
23344,100%,Grenada,1.0,f,na
16868,100%,,1.0,t,na
19653,,Cook Islands,1.0,f,na
30866,,,1.0,f,na
16441,,Ghana,1.0,t,na
19806,60%,Papua New Guinea,1.0,f,na
41296,100%,Svalbard & Jan Mayen Islands,1.0,f,na
44421,,Monaco,1.0,f,na
40264,100%,Russian Federation,1.0,f,na
17712,100%,,1.0,f,na
832,,El Salvador,1.0,f,na
28236,,Greenland,1.0,f,na
36429,,,1.0,f,na
7244,100%,Guatemala,2.0,t,na
44834,97%,Guernsey,4.0,f,na
32401,,,1.0,f,na
17086,100%,Saint Pierre and Miquelon,2.0,t,na
36900,100%,,1.0,t,na
44820,,,1.0,f,na
21557,,,1.0,f,na
29526,,Sao Tome and Principe,1.0,t,na
22096,,,1.0,f,na
37066,100%,Micronesia,1.0,t,na
37117,100%,Slovakia (Slovak Republic),2.0,t,na
17819,100%,Guinea,2.0,f,na
9202,100%,,1.0,f,na
39561,100%,,2.0,t,na
2924,,Puerto Rico,1.0,f,na
23914,,Micronesia,1.0,f,na
38377,,Lebanon,1.0,f,na
5345,100%,,2.0,f,na
23170,100%,Sao Tome and Principe,2.0,t,na
36924,,Sao Tome and Principe,1.0,t,na
3947,,Zimbabwe,1.0,f,na
42996,,Jersey,1.0,f,na
28920,,Malta,1.0,t,na
11126,100%,Anguilla,3.0,t,na
20283,100%,Denmark,1.0,f,na
24271,,Kenya,1.0,f,na
47546,0%,,1.0,f,na
38524,100%,Libyan Arab Jamahiriya,1.0,t,na
26233,,,2.0,t,na
30740,,Gambia,2.0,t,na
10475,,Mauritania,1.0,t,na
49825,100%,Pakistan,7.0,t,na
47391,,,2.0,t,na
39894,,,1.0,f,na
39637,100%,Niue,1.0,f,na
3290,,Solomon Islands,1.0,f,na
29972,,United Kingdom,1.0,f,na
6993,100%,Costa Rica,1.0,t,na
37356,,Guinea,3.0,f,na
2941,,Tonga,2.0,t,na
29798,,,1.0,f,na
48898,,Niue,1.0,f,na
29323,100%,Guinea,3.0,f,na
39609,,United Kingdom,1.0,f,na
8525,,Sao Tome and Principe,2.0,f,na
10636,100%,Jersey,1.0,f,na
12911,100%,Maldives,1.0,f,na
22231,100%,Guinea,2.0,f,na
3302,,,1.0,f,na
44507,83%,,1.0,f,na
7437,,Niue,1.0,t,na
33669,100%,Malta,2.0,t,na
31773,100%,,1.0,t,na
27738,,Chad,1.0,t,na
30644,,Kiribati,1.0,t,na
19309,100%,Maldives,3.0,t,na
4868,100%,Jersey,2.0,t,na
44440,88%,Somalia,2.0,f,na
4780,100%,Svalbard & Jan Mayen Islands,1.0,f,na
22364,100%,Denmark,2.0,f,na
22799,,,1.0,t,na
24546,50%,Zimbabwe,2.0,f,na
45111,100%,Sao Tome and Principe,420.0,f,na
814,,,1.0,f,na
40899,100%,,1.0,t,na
49650,,Isle of Man,1.0,t,na
38122,100%,Tonga,1.0,f,na
28667,100%,Barbados,1.0,f,na
16906,,Costa Rica,1.0,t,na
34467,100%,Indonesia,1.0,f,na
17499,33%,Somalia,1.0,t,na
31352,100%,Pakistan,1.0,f,na
390,100%,Niue,1.0,t,na
49805,,,1.0,f,na
41646,,Maldives,3.0,f,na
12187,,,1.0,f,na
39441,96%,Cuba,4.0,f,na
10149,100%,Isle of Man,1.0,f,na
44861,,Puerto Rico,1.0,f,na
8355,87%,Togo,16.0,f,na
20114,100%,Croatia,1.0,t,na
7303,,,1.0,f,na
6780,,Zimbabwe,2.0,t,na
41999,,Mexico,1.0,f,na
8050,,Nicaragua,1.0,f,na
40479,100%,France,1.0,f,na
8831,,,3.0,f,na
41751,100%,,1.0,f,na
5346,100%,,1.0,f,na
45569,,,1.0,t,na
28743,100%,Somalia,1.0,t,na
31554,100%,Marshall Islands,1.0,t,na
12512,,Greenland,1.0,f,na
20945,,Niger,1.0,f,na
14825,,Uzbekistan,1.0,f,na
31839,100%,Mauritania,1.0,f,na
4828,100%,Philippines,1.0,t,na
5483,,Guinea,1.0,f,na
32524,100%,Nicaragua,1.0,t,na
28803,100%,Cocos (Keeling) Islands,1.0,f,na
38357,0%,,1.0,t,na
11329,,Philippines,1.0,f,na
27822,100%,Russian Federation,2.0,f,na
41967,,,1.0,f,na
29454,100%,Guinea,1.0,f,na
43770,,Rwanda,1.0,t,na
15478,80%,,1.0,f,na
27460,50%,Denmark,2.0,f,na
